Temperature [_ C] ,Humidity [%],Soil moisture,Reference evapotranspiration,Evapotranspiration,Crop Coefficient,Crop Coefficient stage,Nitrogen [mg/kg],Phosphorus [mg/kg],Potassium,Solar Radiation ghi,Wind Speed,Days of planted,pH
29.6,77.8,307,558.2290113,234.4561847,0.42,Initial Stage,118,42,57,622,2.09,3,2.87
29.6,79.1,306,557.109354,233.9859287,0.42,Initial Stage,118,42,57,622,2.09,3,3.6
29.6,80.6,306,555.8288136,233.4481017,0.42,Initial Stage,118,42,57,622,2.09,3,3.75
29.5,78.7,306,557.4328202,234.1217845,0.42,Initial Stage,118,42,57,622,2.09,3,1.75
29.5,80.6,306,555.8133991,233.4416276,0.42,Initial Stage,105,37,53,622,2.09,3,3.53
29.5,79.7,307,556.5780865,233.7627963,0.42,Initial Stage,105,37,53,622,2.09,3,3.66
29.4,81.3,307,555.2071511,233.1870035,0.42,Initial Stage,105,37,53,622,2.09,3,3.59
29.4,79.2,306,556.985241,233.9338012,0.42,Initial Stage,105,37,53,622,2.09,3,3.61
29.4,79.8,306,556.4748348,233.7194306,0.42,Initial Stage,105,37,53,622,2.09,3,3.58
29.4,80.7,306,555.7128095,233.39938,0.42,Initial Stage,105,37,53,622,2.09,3,3.53
29.4,80.7,306,555.7128095,233.39938,0.42,Initial Stage,105,37,53,622,2.09,3,3.53
29.5,79.2,306,557.0047789,233.9420071,0.42,Initial Stage,105,37,53,622,2.09,3,3.55
29.5,79.1,307,557.0902788,233.9779171,0.42,Initial Stage,105,37,53,622,2.09,3,3.51
29.6,79.9,307,556.4249029,233.6984592,0.42,Initial Stage,105,37,53,622,2.09,3,3.5
29.6,81.9,306,554.7286177,232.9860194,0.42,Initial Stage,105,37,53,622,2.09,3,3.51
29.7,79.1,306,557.1277202,233.9936425,0.42,Initial Stage,105,37,53,622,2.09,3,3.56
30.3,75.6,306,177.8016721,74.6767023,0.42,Initial Stage,105,37,53,196,2.54,3,3.53
30.2,76.7,306,177.4826828,74.54272678,0.42,Initial Stage,117,42,58,196,2.54,3,3.55
30.2,76.2,306,177.6240763,74.60211206,0.42,Initial Stage,117,42,58,196,2.54,3,3.53
30.2,74.7,306,178.0510627,74.78144634,0.42,Initial Stage,117,42,58,196,2.54,3,3.53
30.2,75.8,306,177.7375254,74.64976067,0.42,Initial Stage,117,42,58,196,2.54,3,3.49
30.2,75.7,306,177.7659344,74.66169245,0.42,Initial Stage,117,42,58,196,2.54,3,3.52
31.2,95,587,137.9013149,59.75723646,0.42,Initial Stage,117,42,58,171,1.08,5,3.49
31.2,95,587,137.9037365,59.7582858,0.433333333,Initial Stage,117,42,58,171,1.08,5,3.49
25.9,94.4,309,138.0057259,59.80248124,0.433333333,Initial Stage,106,38,53,171,1.08,5,3.47
26,92.6,284,138.3170928,59.93740687,0.433333333,Initial Stage,106,38,53,171,1.08,5,3.52
26,95,310,137.9059826,59.75925913,0.433333333,Initial Stage,106,38,53,171,1.08,5,3.47
25.9,95,297,137.9037365,59.7582858,0.433333333,Initial Stage,106,38,53,171,1.08,5,3.44
25.9,98.2,281,137.3651502,59.52489844,0.433333333,Initial Stage,106,38,53,171,1.08,5,4.81
25.9,92.7,265,138.2964693,59.92847002,0.433333333,Initial Stage,106,38,54,171,1.08,5,3.63
28.9,80.4,228,30.28080699,13.12168303,0.433333333,Initial Stage,107,37,50,35,1.85,5,3.59
28.8,80.9,225,30.25746596,13.11156858,0.433333333,Initial Stage,107,37,50,35,1.85,5,3.6
28.8,79.9,314,30.30198097,13.13085842,0.433333333,Initial Stage,107,37,50,35,1.85,5,3.57
30.2,96.3,532,30.34677521,13.15026926,0.433333333,Initial Stage,107,37,50,35,1.85,5,3.62
25.8,95.7,209,152.833401,67.24669646,0.433333333,Initial Stage,44,15,22,195,1.21,6,3.59
25.7,95,212,152.9593845,67.3021292,0.44,Initial Stage,44,15,22,195,1.21,6,3.59
25.8,93.7,214,153.2027075,67.40919131,0.44,Initial Stage,44,15,22,195,1.21,6,3.58
25.8,95,204,152.9622154,67.30337479,0.44,Initial Stage,44,15,22,195,1.21,6,3.66
25.8,93.7,204,153.2027075,67.40919131,0.44,Initial Stage,44,15,22,195,1.21,6,3.6
25.8,97.7,204,152.4679334,67.08589071,0.44,Initial Stage,44,15,22,195,1.21,6,3.6
25.9,97.7,587,152.4691357,67.0864197,0.44,Initial Stage,44,15,22,195,1.21,6,3.67
27.4,88.5,587,503.8062179,221.6747359,0.44,Initial Stage,107,37,50,642,0.65,6,3.6
27.5,88.4,215,503.8818152,221.7079987,0.44,Initial Stage,107,37,50,642,0.65,6,3.57
27.5,87.5,215,504.4701204,221.966853,0.44,Initial Stage,107,37,50,642,0.65,6,3.57
27.5,84.6,214,506.3866459,222.8101242,0.44,Initial Stage,107,37,50,642,0.65,6,3.58
27.5,86.8,215,504.9297859,222.1691058,0.44,Initial Stage,107,37,50,642,0.65,6,3.61
27.4,83.9,213,506.8349849,223.0073933,0.44,Initial Stage,107,37,50,642,0.65,6,3.56
27.4,80.8,215,508.9231844,223.9262012,0.44,Initial Stage,107,37,50,642,0.65,6,3.57
27.5,83.6,214,507.0551137,223.10425,0.44,Initial Stage,107,37,50,642,0.65,6,3.56
27.5,81.5,213,508.472036,223.7276958,0.44,Initial Stage,107,37,50,642,0.65,6,3.54
27.5,86.3,213,505.2592541,222.3140718,0.44,Initial Stage,107,37,50,642,0.65,6,3.57
27.4,82.3,215,507.9078556,223.4794565,0.44,Initial Stage,107,37,50,642,0.65,6,3.55
27.5,86.3,213,505.2592541,222.3140718,0.44,Initial Stage,107,37,50,642,0.65,6,3.55
28.8,78.3,268,35.96095444,15.82281995,0.44,Initial Stage,107,37,50,43,1.9300000000000002,6,3.53
28.8,78.2,265,35.96618254,15.82512032,0.44,Initial Stage,107,37,50,43,1.9300000000000002,6,3.56
28.8,78.9,265,35.92965567,15.80904849,0.44,Initial Stage,107,37,50,43,1.9300000000000002,6,3.54
28.8,77.9,267,35.9818869,15.83203024,0.44,Initial Stage,107,37,50,43,1.9300000000000002,6,3.53
28.8,78.1,268,35.97141397,15.82742215,0.44,Initial Stage,107,37,50,43,1.9300000000000002,6,3.58
28.8,79,265,35.92445078,15.80675834,0.44,Initial Stage,107,37,50,43,1.9300000000000002,6,3.53
28.8,78.9,265,35.92965567,15.80904849,0.44,Initial Stage,107,37,50,43,1.9300000000000002,6,3.57
28.8,77,266,36.02918218,15.85284016,0.44,Initial Stage,107,37,50,43,1.9300000000000002,6,3.54
28.7,78.5,268,35.94888618,15.81750992,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.51
28.7,77.6,265,35.99586431,15.8381803,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.57
28.7,78.5,265,35.94888618,15.81750992,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.54
28.7,78.5,265,35.94888618,15.81750992,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.54
28.8,81.2,268,35.81076498,15.75673659,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.59
28.7,80.5,265,35.84544444,15.77199555,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.55
28.7,80,265,35.87118336,15.78332068,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.6
28.7,78.6,266,35.94368304,15.81522054,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.55
28.7,78.3,265,35.95930241,15.82209306,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.53
28.7,79.8,265,35.88150143,15.78786063,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.61
28.7,78.3,265,35.95930241,15.82209306,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.59
28.7,79,268,35.92290347,15.80607752,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.59
28.6,78.3,266,35.95760778,15.82134742,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.58
28.7,78.5,265,35.94888618,15.81750992,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.63
28.7,78,265,35.97495172,15.82897876,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.61
28.7,77.1,268,36.02208094,15.84971561,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.59
28.7,79.6,265,35.89183242,15.79240627,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.59
28.7,79,264,35.92290347,15.80607752,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.61
28.6,79.5,265,35.89548692,15.79401424,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.59
28.6,79,268,35.92131328,15.80537784,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.61
28.6,79.3,266,35.90580769,15.79855539,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.63
28.6,79,264,35.92131328,15.80537784,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.61
28.6,78.5,265,35.94722144,15.81677743,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.66
28.6,79,268,35.92131328,15.80537784,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.64
28.6,78.3,265,35.95760778,15.82134742,0.44,Initial Stage,117,42,58,43,1.9300000000000002,6,3.63
28.5,76.8,589,36.04671745,15.86055568,0.44,Initial Stage,117,42,58,43,1.44,6,3.63
28.5,77.6,589,36.00496577,15.84218494,0.44,Initial Stage,117,42,58,43,1.44,6,3.68
28.5,78.5,264,35.95825143,15.82163063,0.44,Initial Stage,117,42,58,43,1.44,6,3.65
28.5,77.6,265,36.00496577,15.84218494,0.44,Initial Stage,117,42,58,43,1.44,6,3.62
28.5,78.1,268,35.97898014,15.83075126,0.44,Initial Stage,117,42,58,43,1.44,6,3.69
28.5,77,264,36.03625923,15.85595406,0.44,Initial Stage,117,42,58,43,1.44,6,3.67
28.5,78,264,5.856231239,2.576741745,0.44,Initial Stage,117,42,58,5,1.44,6,3.64
28.5,77.8,265,5.858215749,2.57761493,0.44,Initial Stage,117,42,58,5,1.44,6,3.66
28.5,78.5,268,5.851281038,2.574563657,0.44,Initial Stage,117,42,58,5,1.44,6,3.67
28.5,77.3,266,5.863188184,2.579802801,0.44,Initial Stage,117,42,58,5,1.44,6,3.65
28.5,79.5,264,5.841427585,2.570228138,0.44,Initial Stage,117,42,58,5,1.44,6,3.65
28.4,78.6,264,5.849961101,2.573982885,0.44,Initial Stage,117,42,58,5,1.44,6,3.65
28.4,78,268,5.85588239,2.576588252,0.44,Initial Stage,117,42,58,5,1.44,6,3.65
28.4,77.9,266,5.856871477,2.57702345,0.44,Initial Stage,117,42,58,5,1.44,6,3.68
28.4,78.3,264,5.852918917,2.575284324,0.44,Initial Stage,117,42,58,5,1.44,6,3.63
29.7,95,587,237.6993647,106.1723829,0.44,Initial Stage,117,42,58,312,1.69,7,3.65
29.7,95,587,237.6993647,106.1723829,0.446666667,Initial Stage,117,42,58,312,1.69,7,3.65
25.2,95,268,237.6993647,106.1723829,0.446666667,Initial Stage,117,42,58,312,1.69,7,3.67
27.4,89.1,268,527.6467657,235.682222,0.446666667,Initial Stage,117,42,58,690,1.24,7,3.67
27.4,90.1,268,526.9812243,235.3849469,0.446666667,Initial Stage,117,42,58,690,1.24,7,3.65
25.2,95,228,158.8520088,73.07192406,0.446666667,Initial Stage,44,15,22,217,1.32,9,3.71
25.2,95,228,158.8520088,73.07192406,0.46,Initial Stage,44,15,22,217,1.32,9,3.66
25.3,95,230,158.8557473,73.07364377,0.46,Initial Stage,44,15,22,217,1.32,9,3.67
25.3,95,228,158.8557473,73.07364377,0.46,Initial Stage,44,15,22,217,1.32,9,3.67
25.3,95,230,158.8557473,73.07364377,0.46,Initial Stage,44,15,22,217,1.32,9,3.65
25.3,95,227,158.8557473,73.07364377,0.46,Initial Stage,44,15,22,217,1.32,9,3.68
25.2,95,227,158.8520088,73.07192406,0.46,Initial Stage,44,15,22,217,1.32,9,3.65
25.2,95,229,158.8520088,73.07192406,0.46,Initial Stage,44,15,22,217,1.32,9,3.66
25.2,95,229,158.8520088,73.07192406,0.46,Initial Stage,44,15,22,217,1.32,9,3.67
25.2,95,227,158.8520088,73.07192406,0.46,Initial Stage,44,15,22,217,1.32,9,3.67
28.6,83.8,232,592.2348705,272.4280404,0.46,Initial Stage,117,42,58,804,0.81,9,3.65
28.6,82.6,230,593.1608066,272.853971,0.46,Initial Stage,117,42,58,804,0.81,9,3.67
28.7,82.3,230,593.4101585,272.9686729,0.46,Initial Stage,117,42,58,804,0.81,9,3.68
28.7,82.8,233,593.0217236,272.7899928,0.46,Initial Stage,117,42,58,804,0.81,9,3.67
28.7,81.6,230,593.955955,273.2197393,0.46,Initial Stage,117,42,58,804,0.81,9,3.68
28.8,82,231,593.6606015,273.0838767,0.46,Initial Stage,117,42,58,804,0.81,9,3.65
28.7,82.8,235,593.0217236,272.7899928,0.46,Initial Stage,117,42,58,804,0.81,9,3.61
28.6,83.2,229,592.6970039,272.6406218,0.46,Initial Stage,117,42,58,804,0.81,9,3.68
28.5,82.6,237,593.1439819,272.8462317,0.46,Initial Stage,117,42,58,804,0.81,9,3.63
28.6,80.5,233,594.7975284,273.6068631,0.46,Initial Stage,117,42,58,804,0.81,9,3.67
28.7,79.1,230,595.9245954,274.1253139,0.46,Initial Stage,117,42,58,804,0.81,9,3.65
28.8,77.4,238,597.3083696,274.76185,0.46,Initial Stage,117,42,58,804,0.81,9,3.65
28.8,79.5,231,595.6300069,273.9898032,0.46,Initial Stage,117,42,58,804,0.81,9,3.65
30,62.7,231,196.9530654,90.59841007,0.46,Initial Stage,117,42,58,258,2.7199999999999998,9,3.64
30,62.5,231,197.0131101,90.62603064,0.46,Initial Stage,117,42,58,258,2.7199999999999998,9,3.7
30,63.2,237,196.8033711,90.52955071,0.46,Initial Stage,117,42,58,258,2.7199999999999998,9,3.68
30,62.2,231,197.1033576,90.66754447,0.46,Initial Stage,117,42,58,258,2.7199999999999998,9,3.69
30,61.7,231,197.2542549,90.73695725,0.46,Initial Stage,117,42,58,258,2.7199999999999998,9,3.69
30,62,237,197.1636435,90.69527599,0.46,Initial Stage,117,42,58,258,2.7199999999999998,9,3.66
30,62.2,232,197.1033576,90.66754447,0.46,Initial Stage,117,42,58,258,2.7199999999999998,9,3.71
29.9,63.5,232,196.6962742,90.48028612,0.46,Initial Stage,117,42,58,258,2.7199999999999998,9,3.65
29.9,64,235,196.5479465,90.41205541,0.46,Initial Stage,117,42,58,258,2.7199999999999998,9,3.66
29.9,65.7,234,196.0479173,90.18204196,0.46,Initial Stage,117,42,58,258,2.7199999999999998,9,3.67
29.9,65.5,232,196.1064059,90.20894669,0.46,Initial Stage,117,42,58,258,2.7199999999999998,9,3.69
29.9,65.2,229,196.1943063,90.24938092,0.46,Initial Stage,117,42,58,258,2.7199999999999998,9,3.66
29.9,66.3,232,195.8729836,90.10157246,0.46,Initial Stage,117,42,58,258,2.7199999999999998,9,3.65
28.9,83.7,213,1.868697314,1.376607021,0.75,Development Stage,117,42,58,203,1.02,17,3.68
28.9,84.8,502,1.864018277,1.37316013,0.736666667,Development Stage,117,42,58,203,1.02,17,3.65
27.6,89,502,50.35744181,37.26450694,0.736666667,Development Stage,117,42,58,203,1.02,17,3.67
27.6,96,215,49.87612163,36.90833001,0.74,Development Stage,117,42,58,203,1.02,17,3.66
27.6,87.8,212,50.44183051,37.32695458,0.74,Development Stage,117,42,58,203,1.02,17,3.65
27.6,96.5,214,49.84242385,36.88339365,0.74,Development Stage,117,42,58,203,1.02,17,3.71
27.5,93,213,50.08002216,37.0592164,0.74,Development Stage,117,42,58,203,1.02,17,3.67
29,86.9,203,50.28469968,37.21067776,0.74,Development Stage,117,42,58,203,1.02,17,3.7
29,86.9,213,50.28469968,37.21067776,0.74,Development Stage,117,42,58,203,1.02,17,3.69
29,86.7,195,50.29936565,37.22153058,0.74,Development Stage,117,42,58,203,1.02,17,3.7
28.9,86,196,50.35020224,37.25914966,0.74,Development Stage,117,42,58,203,1.02,17,3.69
28.9,86.3,196,50.32818373,37.24285596,0.74,Development Stage,117,42,58,203,1.02,17,3.69
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,117,42,58,203,1.02,17,3.71
28.9,86,196,50.35020224,37.25914966,0.74,Development Stage,117,42,58,203,1.02,17,3.69
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,117,42,58,203,1.02,17,3.7
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,117,42,58,203,1.02,17,3.68
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,203,1.02,17,3.67
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,203,1.02,17,3.72
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,203,1.02,17,3.74
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.71
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.71
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.76
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.7
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.73
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.73
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.74
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.71
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.72
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.65
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.71
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.68
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.73
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.73
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.74
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.7
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.76
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.73
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.75
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.71
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.72
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.72
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.73
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.73
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.7
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.71
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.7
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.77
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.77
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.73
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.72
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.7
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.75
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,3.75
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,6.55
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,5.04
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,1.44
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,4.89
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,0.91
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,17,6.57
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732,1.44,22,12.26
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,792,1.07,22,7.46
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,792,1.07,22,4.42
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,792,1.07,22,3.96
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,792,1.07,22,3.83
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,792,1.07,22,3.76
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,106,39,55,792,1.07,22,3.74
28.9,85.8,196,50.36490259,37.27002792,0.74,Development Stage,118,39,55,792,1.44,25,3.72
28.3,88.7,234,6.923489062,5.123381906,0.74,Development Stage,118,39,55,792,1.44,25,3.69
28.3,87.2,235,6.940301431,5.135823059,0.74,Development Stage,118,39,55,792,1.44,25,3.72
28.3,88.4,232,6.926840146,5.125861708,0.74,Development Stage,118,39,55,792,1.44,25,3.71
28.3,88.4,232,6.926840146,5.125861708,0.74,Development Stage,118,39,55,792,1.44,25,3.73
28.3,88.4,232,6.926840146,5.125861708,0.74,Development Stage,118,39,55,792,1.44,25,3.72
28.3,88.4,232,6.926840146,5.125861708,0.74,Development Stage,118,39,55,732,1.44,25,3.72
28.3,88.4,232,6.926840146,5.125861708,0.74,Development Stage,118,39,55,732,1.44,25,3.69
28.3,88.4,232,6.926840146,5.125861708,0.74,Development Stage,118,39,55,732,1.44,25,3.72
28.9,83.7,503,1.868697314,103.5167071,0.74,Development Stage,118,39,55,732,1.44,25,3.7
28.9,84.8,503,1.864018277,1.868697314,0.746666667,Development Stage,118,39,55,792,1.44,25,3.69
27.6,89,214,50.35744181,1.864018277,0.736666667,Development Stage,118,39,55,792,1.44,25,3.68
27.6,96,558,49.87612163,50.35744181,0.736666667,Development Stage,118,39,55,792,1.44,25,3.66
27.6,87.8,558,50.44183051,49.87612163,0.74,Development Stage,118,39,55,792,1.44,25,3.67
27.6,96.5,214,49.84242385,50.44183051,0.74,Development Stage,118,39,55,792,1.44,25,3.7
27.5,93,213,50.08002216,49.84242385,0.74,Development Stage,118,39,55,792,1.07,32,3.67
29,86.9,203,50.28469968,50.08002216,0.74,Development Stage,118,39,55,792,1.07,32,3.65
29,86.9,213,50.28469968,50.28469968,0.74,Development Stage,118,39,55,792,1.07,32,3.64
29,86.7,195,50.29936565,50.28469968,0.74,Development Stage,118,39,55,792,1.07,32,3.66
28.9,86,196,50.35020224,50.29936565,0.74,Development Stage,118,39,55,732,1.07,32,3.67
28.9,86.3,196,50.32818373,50.35020224,0.74,Development Stage,118,39,55,732,1.07,32,3.68
28.9,85.8,196,50.36490259,50.32818373,0.74,Development Stage,118,39,55,732,1.44,32,3.66
28.9,86,196,50.35020224,50.36490259,0.74,Development Stage,118,39,55,732,1.07,32,3.62
28.9,85.8,196,50.36490259,50.35020224,0.74,Development Stage,118,39,55,732,1.07,32,3.65
28.9,85.8,196,50.36490259,50.36490259,0.74,Development Stage,118,39,55,732,1.07,32,3.68
25.68,89.26,350.63,995.1392314,878.2251035,0.82,Development Stage,104,61,125,481.09,2.47,35,2.91
28.01,82.62,593.6,218.1989488,145.042156,1.07,Development Stage,100,90,67,321.35,2.22,35,5.33
26.44,67.22,614.17,438.1065818,831.1774432,1.09,Development Stage,117,98,53,334.34,1.81,35,2.9
25.63,65.63,381.92,68.00488386,689.2541361,1.49,Development Stage,86,62,92,516.62,2.79,35,6.73
23.93,91.66,337.84,163.4554355,475.2896963,1.08,Development Stage,104,49,112,463.99,3.07,35,4.78
27.04,70.05,149.23,646.6253983,588.2733386,1.28,Development Stage,65,104,133,544.79,1.23,35,4.57
24.13,66.28,579.4,569.3293915,754.0264281,0.81,Development Stage,105,45,102,674.34,3.82,35,3.02
30.48,95,510.37,481.8382628,475.337242,1.18,Development Stage,80,88,61,512.94,2.59,35,2.79
31.49,70.82,374.74,788.9416662,582.9967698,1.09,Development Stage,109,41,98,383.31,3.71,35,2.53
23.37,64.37,412.72,293.2313027,879.1163011,0.97,Development Stage,66,101,91,271.1,3.65,35,4.42
